ASIN,YEAR,MONTH,DAY,ORDER_FEATURE,DESCRIBE_FEATURE,STAR_FEATURE,,,,,,
B00E3B2GX6,2022,3,8,2,Longevity,3.6,2022-03-08 08:19:57.146901
B00E3B2GX6,2022,3,8,3,Flattering,3.5,2022-03-08 08:19:57.146901
B08XVTDX2J,2022,3,8,1,Moisturizing,2.5,2022-03-08 08:20:37.344640
B08XVTDX2J,2022,3,8,2,Longevity,2.5,2022-03-08 08:20:37.344640
B08XVTDX2J,2022,3,8,3,Smudge-proof,2.3,2022-03-08 08:20:37.344640
B07PFXZK8X,2022,3,8,1,Scent,4.5,2022-03-08 08:21:41.551882
B07PFXZK8X,2022,3,8,2,Flattering,4.4,2022-03-08 08:21:41.551882
B07PFXZK8X,2022,3,8,3,Moisturizing,4.2,2022-03-08 08:21:41.551882
B07PFXZK8X,2022,3,8,4,Longevity,4.2,2022-03-08 08:21:41.551882
B08TT1RRGP,2022,3,8,1,Easy to install,4.5,2022-03-08 08:32:01.987077
B08TT1RRGP,2022,3,8,2,Picture quality,4.3,2022-03-08 08:32:01.987077
B08TT1RRGP,2022,3,8,3,Camera quality,4.2,2022-03-08 08:32:01.987077
B08TT1RRGP,2022,3,8,4,Night vision,4.2,2022-03-08 08:32:01.987077
B098WVKF19,2022,3,8,1,Night vision,4.6,2022-03-08 08:32:11.758086
B098WVKF19,2022,3,8,2,Picture quality,4.4,2022-03-08 08:32:11.758086
B098WVKF19,2022,3,8,3,Camera quality,4.4,2022-03-08 08:32:11.758086
B098WVKF19,2022,3,8,4,Value for money,4.4,2022-03-08 08:32:11.758086
B098WVKF19,2022,3,8,5,Suction power,4.3,2022-03-08 08:32:11.758086
B074JT3698,2022,3,8,1,Easy to install,4.7,2022-03-08 08:32:22.621595
B074JT3698,2022,3,8,2,Durability,4.6,2022-03-08 08:32:22.621595
B074JT3698,2022,3,8,3,Picture quality,4.5,2022-03-08 08:32:22.621595
B074JT3698,2022,3,8,4,Suction power,4.5,2022-03-08 08:32:22.621595
B074JT3698,2022,3,8,5,Camera quality,4.5,2022-03-08 08:32:22.621595
B074JT3698,2022,3,8,6,Night vision,4.3,2022-03-08 08:32:22.621595
B08M9JD55C,2022,3,8,1,Easy to install,4.6,2022-03-08 08:32:30.585530
B08M9JD55C,2022,3,8,2,Night vision,4.5,2022-03-08 08:32:30.585530
B08M9JD55C,2022,3,8,3,Picture quality,4.4,2022-03-08 08:32:30.585530
B08M9JD55C,2022,3,8,4,Camera quality,4.3,2022-03-08 08:32:30.585530
B08M9JD55C,2022,3,8,5,Suction power,4.3,2022-03-08 08:32:30.585530
B08M9JD55C,2022,3,8,6,Sheerness,4.2,2022-03-08 08:32:30.585530
B0931YZ82P,2022,3,8,1,Suction power,4.3,2022-03-08 08:32:39.683444
B0931YZ82P,2022,3,8,2,Easy to install,4.1,2022-03-08 08:32:39.683444
B0931YZ82P,2022,3,8,3,Night vision,4.1,2022-03-08 08:32:39.683444
B0931YZ82P,2022,3,8,4,Camera quality,4.0,2022-03-08 08:32:39.683444
B0931YZ82P,2022,3,8,5,Picture quality,3.9,2022-03-08 08:32:39.683444
B08TT1RRGP,2022,3,8,1,Easy to install,4.5,2022-03-08 08:32:49.444816
B08TT1RRGP,2022,3,8,2,Picture quality,4.3,2022-03-08 08:32:49.444816
B08TT1RRGP,2022,3,8,3,Camera quality,4.2,2022-03-08 08:32:49.444816
B08TT1RRGP,2022,3,8,4,Night vision,4.2,2022-03-08 08:32:49.444816
B09MLY2DHF,2022,3,8,1,Camera quality,5.0,2022-03-08 08:32:58.777250
B09MLY2DHF,2022,3,8,2,Easy to use,5.0,2022-03-08 08:32:58.777250
B09MLY2DHF,2022,3,8,3,Value for money,5.0,2022-03-08 08:32:58.777250
B09MLY2DHF,2022,3,8,4,Night vision,5.0,2022-03-08 08:32:58.777250
B09MLY2DHF,2022,3,8,5,Picture quality,5.0,2022-03-08 08:32:58.777250
B0811Q28N6,2022,3,8,1,Picture quality,4.6,2022-03-08 08:33:07.744656
B0811Q28N6,2022,3,8,2,Touch Screen,4.3,2022-03-08 08:33:07.744656
B0811Q28N6,2022,3,8,3,Camera quality,4.3,2022-03-08 08:33:07.744656
B0811Q28N6,2022,3,8,4,Night vision,3.9,2022-03-08 08:33:07.744656
B083V6K8RH,2022,3,8,1,Value for money,5.0,2022-03-08 08:33:16.679658
B083V6K8RH,2022,3,8,2,Picture quality,4.4,2022-03-08 08:33:16.679658
B083V6K8RH,2022,3,8,3,Camera quality,4.4,2022-03-08 08:33:16.679658
B083V6K8RH,2022,3,8,4,Suction power,4.4,2022-03-08 08:33:16.679658
B083V6K8RH,2022,3,8,5,Night vision,4.3,2022-03-08 08:33:16.679658
B07Q5R22DV,2022,3,8,1,Picture quality,4.4,2022-03-08 08:33:27.814687
B07Q5R22DV,2022,3,8,2,Camera quality,4.4,2022-03-08 08:33:27.814687
B07Q5R22DV,2022,3,8,3,Night vision,4.3,2022-03-08 08:33:27.814687
B08DNLHGWR,2022,3,8,1,Value for money,4.9,2022-03-08 08:33:36.001818
B08DNLHGWR,2022,3,8,2,Suction power,4.7,2022-03-08 08:33:36.001818
B08DNLHGWR,2022,3,8,3,Picture quality,4.6,2022-03-08 08:33:36.001818
B08DNLHGWR,2022,3,8,4,Camera quality,4.6,2022-03-08 08:33:36.001818
B08DNLHGWR,2022,3,8,5,Night vision,4.4,2022-03-08 08:33:36.001818
B09J8N3KLW,2022,3,8,1,Touch Screen,4.4,2022-03-08 08:33:43.901070
B09J8N3KLW,2022,3,8,2,Screen quality,4.2,2022-03-08 08:33:43.901070
B09J8N3KLW,2022,3,8,3,Camera quality,4.0,2022-03-08 08:33:43.901070
B07FQM3V3J,2022,3,8,1,Touch Screen,4.8,2022-03-08 08:33:53.024810
B07FQM3V3J,2022,3,8,2,Easy to install,4.6,2022-03-08 08:33:53.024810
B07FQM3V3J,2022,3,8,3,Easy to use,4.5,2022-03-08 08:33:53.024810
B07FQM3V3J,2022,3,8,4,Camera quality,4.5,2022-03-08 08:33:53.024810
B07FQM3V3J,2022,3,8,5,Picture quality,4.5,2022-03-08 08:33:53.024810
B07FQM3V3J,2022,3,8,6,Night vision,4.3,2022-03-08 08:33:53.024810
B07ZT78BYP,2022,3,8,1,Easy to install,4.9,2022-03-08 08:34:01.647823
B07ZT78BYP,2022,3,8,2,Suction power,4.9,2022-03-08 08:34:01.647823
B07ZT78BYP,2022,3,8,3,Camera quality,4.6,2022-03-08 08:34:01.647823
B07ZT78BYP,2022,3,8,4,Picture quality,4.6,2022-03-08 08:34:01.647823
B07ZT78BYP,2022,3,8,5,Night vision,4.5,2022-03-08 08:34:01.647823
B07ZT78BYP,2022,3,8,6,Easy to use,4.2,2022-03-08 08:34:01.647823
B07XB78LTH,2022,3,8,1,Camera quality,4.5,2022-03-08 08:34:11.346059
B07XB78LTH,2022,3,8,2,Easy to install,4.2,2022-03-08 08:34:11.346059
B07XB78LTH,2022,3,8,3,Picture quality,4.1,2022-03-08 08:34:11.346059
B07XB78LTH,2022,3,8,4,Night vision,4.0,2022-03-08 08:34:11.346059
B07XB78LTH,2022,3,8,5,Suction power,3.8,2022-03-08 08:34:11.346059
B07PSDXMNV,2022,3,8,1,Camera quality,4.9,2022-03-08 08:34:19.508232
B07PSDXMNV,2022,3,8,2,Value for money,4.6,2022-03-08 08:34:19.508232
B07PSDXMNV,2022,3,8,3,Easy to install,4.4,2022-03-08 08:34:19.508232
B07PSDXMNV,2022,3,8,4,Easy to use,4.4,2022-03-08 08:34:19.508232
B07PSDXMNV,2022,3,8,5,Suction power,4.3,2022-03-08 08:34:19.508232
B07PSDXMNV,2022,3,8,6,Picture quality,4.2,2022-03-08 08:34:19.508232
B09Q892RF7,2022,3,8,1,Easy to install,4.9,2022-03-08 08:34:27.795546
B09Q892RF7,2022,3,8,2,Camera quality,4.8,2022-03-08 08:34:27.795546
B09Q892RF7,2022,3,8,3,Picture quality,4.8,2022-03-08 08:34:27.795546
B09Q892RF7,2022,3,8,4,Night vision,3.7,2022-03-08 08:34:27.795546
B07SRQH4R7,2022,3,8,1,Easy to install,4.5,2022-03-08 08:34:37.246475
B07SRQH4R7,2022,3,8,2,Easy to use,4.5,2022-03-08 08:34:37.246475
B07SRQH4R7,2022,3,8,3,Picture quality,4.4,2022-03-08 08:34:37.246475
B07SRQH4R7,2022,3,8,4,Suction power,4.2,2022-03-08 08:34:37.246475
B07SRQH4R7,2022,3,8,5,Camera quality,4.1,2022-03-08 08:34:37.246475
B07SRQH4R7,2022,3,8,6,Motion detection,4.0,2022-03-08 08:34:37.246475
B098WVKF19,2022,3,8,1,Night vision,4.6,2022-03-08 08:34:46.466458
B098WVKF19,2022,3,8,2,Picture quality,4.4,2022-03-08 08:34:46.466458
B098WVKF19,2022,3,8,3,Camera quality,4.4,2022-03-08 08:34:46.466458
B098WVKF19,2022,3,8,4,Value for money,4.4,2022-03-08 08:34:46.466458
B098WVKF19,2022,3,8,5,Suction power,4.3,2022-03-08 08:34:46.466458
B07L3SW5G8,2022,3,8,1,Picture quality,4.2,2022-03-08 08:34:54.069357
B07L3SW5G8,2022,3,8,2,Remote Control,4.2,2022-03-08 08:34:54.069357
B07L3SW5G8,2022,3,8,3,Mounting system,3.8,2022-03-08 08:34:54.069357
B07L3SW5G8,2022,3,8,4,Value for money,3.5,2022-03-08 08:34:54.069357
B099N1FCPN,2022,3,8,1,Touch Screen,4.8,2022-03-08 08:35:02.202257
B099N1FCPN,2022,3,8,2,Camera quality,4.7,2022-03-08 08:35:02.202257
B099N1FCPN,2022,3,8,3,Night vision,4.1,2022-03-08 08:35:02.202257
