ASIN,YEAR,MONTH,DAY,KEYWORD_1,KEYWORD_2,KEYWORD_3,KEYWORD_4,KEYWORD_5,KEYWORD_6,KEYWORD_7,KEYWORD_8,KEYWORD_9,KEYWORD_10,KEYWORD_11,KEYWORD_12,KEYWORD_13,KEYWORD_14,KEYWORD_15,KEYWORD_16,KEYWORD_17,KEYWORD_18,KEYWORD_19,KEYWORD_20,TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01MDTVV6T,2022,3,8,curly hair,sulfate free,wavy hair,curl nourish,smells good,highly recommend,definitely recommend,using this shampoo,paraben free,cleans well,little goes,hair feels,goes a long,great price,hair soft,good value,works great,long way,even though,naturally curly,28:41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B019FGCTVM,2022,3,8,great value,value for the money,makes my hair,oily hair,works well,good value,smells good,get what you pay,smells great,hair so soft,got one bottle,shampoo and conditioner,great deal,love this shampoo,smell like,well it cleans,coconut shampoo,great price,price was great,love the scent,28:49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08SSPQH1C,2022,3,8,shampoo and conditioner,damaged hair,highly recommend,hair soft,started using,every day,love this shampoo,color treated,without stripping,extreme shampoo,even though,little bit,dry hair,worth the money,sulfate free,small amount,treated hair,soft and manageable,see a difference,long way,28:56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07QC43BXB,2022,3,8,sulfate free,color treated,treated hair,hair feeling,feel like,highly recommend,everpure,long time,smells good,great price,smells nice,every other day,dyed hair,shampoos and conditioners,started using,soft and manageable,fake fake fake,even though,really like,oreal paris,29:05.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09GTZMG61,2022,3,8,classic clean,smells good,long time,leaves hair,oily hair,time and love,shampoo using,favorite shampoo,shampoo works,wash hair,hair soft,great shampoo,shampoo has a great,way my hair,using this shampoo,shampoo sans conditioner,clean shampoo,hair clean,smell,dry,29:12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001ARP2LY,2022,3,8,ever used,shampoo and conditioner,makes my hair,best shampoo,shampoo i have ever,smells good,momo conditioner,great shampoo,goes a long,little goes,long way,hair so soft,dry hair,hair feeling,leaves hair,keeps my hair,momo shampoo,love this shampoo,curly hair,hair tends,29:19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B005S3JF7S,2022,3,8,new formula,volumizing shampoo,kenra volumizing,changed the formula,old formula,totally different,shampoo and conditioner,feel like,fine hair,find another,hair feeling,clear instead,makes my hair,original formula,hair limp,fine thin,leaves my hair,kenra changed,like straw,wash your hair,29:26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B086L7732Y,2022,3,8,hard water,highly recommend,squeaky clean,safety seal,works well,travel size,clarifying shampoos,cleansing cream,use this once a week,every day,size bottle,let it sit,dry shampoo,small amount,much better,regular shampoo,long time,waste your money,trial size,full size,29:33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08LHXJTDW,2022,3,8,shampoo,value,bottle,decent,leaves,smells,29:41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00GOCUEKE,2022,3,8,color lover,treated hair,volume boost,using this for years,shampoo and conditioner,smells like,fine hair,lover volume boost shampoo,bottle,body,healthy,smell,thin,coloring,lathers,salon,scent,shampoos,dry,hairdresser,29:47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08Q74HF4X,2022,3,8,shampoo and conditioner,dove men,men and care,body wash,care 2 in 1 shampoo,works well,naturally derived,hair feeling,long time,lathers up nicely,plant based,last a long,really like,pump bottle,short hair,rinses out easily,rinses well,well and it rinses,use conditioner,lathers well,29:55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B084LHNR57,2022,3,8,rose scent,smells good,shampoo and conditioner,leaves my hair,smells great,loves this shampoo,pump,smell,dry,missing,shampoos,30:02.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B093X36N9G,2022,3,8,30:09.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07HRNLW6V,2022,3,8,apple cider,cider vinegar,highly recommend,hair loss,every other day,dry scalp,smells good,like straw,color treated,worth the money,curly hair,split ends,hair fall,love love love,followed the directions,wow shampoo,shampoos and conditioners,every time,couple weeks,wow apple,30:16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07BHCB9Y2,2022,3,8,hair loss,highly recommend,thinning hair,hair growth,every day,waste your money,hair fall,new growth,smells like,every time,tea tree,gold label,far so good,soft and manageable,natural ingredients,couple months,make sure,hair feeling,smells good,stopped using,30:24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00OO0J9UY,2022,3,8,shea moisture,low porosity,manuka honey,leaves my hair,smells great,hair soft,love this shampoo,fragrance parfum,smells amazing,highly recommend,every day,sulfate free,started using,hair feeling,little goes,goes a long,dry hair,lathers well,best shampoo,shampoo ever,30:41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07NF9LF8Q,2022,3,8,itchy scalp,shampoo and conditioner,company,scent,shampoos,smells,30:49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B087CY8B2R,2022,3,8,argan oil,long hair,great shampoo,makes your hair,hair soft,like this shampoo,pump,healthy,scent,thicker,moisturizing,natural,smell,30:57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07P547Z3F,2022,3,8,tea tree,tree oil,paul mitchell,itchy scalp,dry scalp,waste of money,hair soft,hair feeling,smells good,botanic hearth,head and shoulders,smells like,like tea,dry itchy,started using,mitchell tea,highly recommend,decided to try,body wash,inside box,31:05.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0007CXY5E,2022,3,8,paul mitchell,leaves my hair,mitchell shampoo,plastic bag,great price,fine hair,every day,shampoo ever,long time,best shampoo,real thing,squeaky clean,works well,works great,favorite shampoo,smells like,smells great,many years,hair feeling,great shampoo,31:13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00JWSNNRI,2022,3,8,shampoo and conditioner,leaves my hair,highly recommend,waste of money,dry hair,smells great,love this shampoo,many years,hard water,real thing,best shampoo,hair soft,long time,ultra hydrasource,works well,every cent,stylist recommended,watered down version,shampoo for many,worth every,31:21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B086CS8YXB,2022,3,8,head and shoulders,years ago,itchy scalp,tried everything,every other day,dry itchy,works great,use it every,times a week,twice a week,dandruff shampoo,seborrheic dermatitis,use it twice,hair growth,highly recommend,dry scalp,started using,per week,worth the money,leave in for 5 minutes,31:28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0009KN8UA,2022,3,8,head and shoulders,coal tar,smells like,dry scalp,seborrheic dermatitis,every day,highly recommend,times a week,tea tree,twice a week,rid of dandruff,scalp psoriasis,moth balls,tried many,selsun blue,flaky scalp,long time,really bad,use it every,itchy and flaky,31:35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07CK8SCZV,2022,3,8,shampoo,bottle,alfaparf,cabello,hairdresser,smell,conditioner,difference,leave,31:42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07HMJTH7G,2022,3,8,itchy scalp,oat milk,sulfonate is not a sulfate,leaves my hair,makes my hair,nourish and moisturize,sensitive scalp,soft and shiny,even though,sulfate free,using this shampoo,shampoos and conditioners,super soft,smells good,milk shampoo,hair soft,dry itchy,dry scalp,feels clean,good shampoo,31:50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
